Season,Title,Date,Rating,Votes,Description
8,S8.E9 ∙ A Good Time in Central Africa,"Mon, Nov 15, 2010",8.0, (1.3K,"While Berta is away for the weekend, Charlie finds the perfect replacement housekeeper; when Lyndsey starts dating Alan again, her ex starts stalking him."
8,"S8.E10 ∙ Ow, Ow, Don't Stop","Mon, Nov 22, 2010",7.4, (1.2K,"Charlie goes on a spending spree for his old fling Courtney, who shows up after three years in prison for conning him out of money."
8,S8.E11 ∙ Dead from the Waist Down,"Mon, Dec 6, 2010",7.4, (1.2K,"Alan is ashamed that he can't afford to buy Lyndsey a birthday present, so he gets creative."
8,S8.E12 ∙ Chocolate Diddlers or My Puppy's Dead,"Mon, Dec 13, 2010",7.2, (1.2K,"When Charlie and Courtney break up, Charlie falls into a depression and visits his psychiatrist."
8,"S8.E13 ∙ Skunk, Dog Crap and Ketchup","Mon, Jan 3, 2011",7.6, (1.2K,"When Charlie and Lyndsey start becoming friendly, Alan's paranoia gets the best of him."
8,S8.E14 ∙ Lookin' for Japanese Subs,"Mon, Jan 17, 2011",7.6, (1.2K,"Charlie continues to obsess over Rose--whom he thinks is married--after running into her at the store, and Jake and Eldrige begin recording their own ""Jackass"" rip-off."
8,S8.E15 ∙ Three Hookers and a Philly Cheesesteak,"Mon, Feb 7, 2011",8.1, (1.3K,"Alan's efforts to ask family for money to help promote his struggling chiropractic business turns into a Ponzi scheme, and Charlie continues to see Rose, still completely unaware that her ""husband"" is actually a mannequin."
8,S8.E16 ∙ That Darn Priest,"Mon, Feb 14, 2011",7.5, (1.4K,"Rose becomes wise to Alan's Ponzi scheme and threatens to tell his family--until Alan discovers the truth about Rose's ""husband."""
9,"S9.E1 ∙ Nice to Meet You, Walden Schmidt","Mon, Sep 19, 2011",5.5, (3.7K,"After the death of Charlie Harper, Alan faces the reality of moving out of his brother's beach house - until he meets a depressed Internet billionaire whose wife just left him."
9,S9.E2 ∙ People Who Love Peepholes,"Mon, Sep 26, 2011",5.3, (1.9K,"Walden buys Charlie's house and hires Berta as his live-in housekeeper, forcing Alan to move back in with his mom. However, Alan sees an opportunity to come back when Walden asks for advice about getting his wife back."
9,S9.E3 ∙ Big Girls Don't Throw Food,"Mon, Oct 3, 2011",5.3, (1.6K,"While preparing for a romantic dinner with his wife, Walden accidentally talks Jake into dropping out of school."
9,S9.E4 ∙ Nine Magic Fingers,"Mon, Oct 10, 2011",5.6, (1.5K,"Alan begins working on getting Lyndsey back, but his days at Walden's place may be numbered after Walden hooks up with Charlie's gold-digger ex girlfriend, Courtney."
9,S9.E5 ∙ A Giant Cat Holding a Churro,"Mon, Oct 17, 2011",5.8, (1.4K,"Lyndsey dumps Alan after he agrees to be completely honest about his past, and a stoned Walden tries to cheer him up by throwing him a party."
9,S9.E6 ∙ The Squat and the Hover,"Mon, Oct 24, 2011",5.6, (1.3K,"Alan convinces Walden to see Charlie's old shrink after he gets his divorce papers from Bridget, but his spirits are soon lifted after he meets a lesbian who looks like her."
9,S9.E7 ∙ Those Fancy Japanese Toilets,"Mon, Oct 31, 2011",5.9, (1.2K,"Walden hires Evelyn as his interior decorator, but Alan is convinced that she just wants to take advantage of him sexually. Meanwhile, Alan inherits Charlie's journal, and Jake has a crush on his tutor, but she has a crush on Walden."
9,S9.E8 ∙ Thank You for the Intercourse,"Mon, Nov 7, 2011",6.6, (1.4K,"Still emotional after Charlie's death and jealous over Walden's ability to pick up hot single women, Alan takes a break from reality and channels his inner Charlie."
9,S9.E9 ∙ Frodo's Headshots,"Mon, Nov 14, 2011",6.4, (1.3K,"Upon his return from the ""stress clinic,"" Alan finds out that Jake got his girlfriend pregnant, Walden and Lyndsey are sleeping together, and he has to move out immediately."
9,S9.E10 ∙ A Fishbowl Full of Glass Eyes,"Mon, Nov 21, 2011",6.2, (1.2K,"After Jake talks Walden into asking out a woman he meets at a supermarket, Alan considers hocking Walden's incredibly expensive wedding ring to get out of debt."
9,S9.E11 ∙ What a Lovely Landing Strip,"Mon, Dec 5, 2011",6.3, (1.2K,"Just as Walden appears ready to pursue a new relationship with Zoe, Bridget returns and says that she wants him back."
9,"S9.E12 ∙ One False Move, Zimbabwe!","Mon, Dec 12, 2011",5.7, (1.2K,"Walden's mother arrives for Christmas and Alan is smitten with her, even as she reveals a secret about a brother from Walden's past that sends him into a downward spiral."
9,S9.E13 ∙ Slowly and in a Circular Fashion,"Mon, Jan 2, 2012",6.6, (1.2K,"When Bridget and Walden's mother try to take control of Walden's company, Walden puts Alan on the board. But can he be trusted once Walden's mother gets to him?"
9,S9.E14 ∙ A Possum on Chemo,"Mon, Jan 16, 2012",6.3, (1.1K,"While Zoe pressures Walden into shaving and cutting his hair, Alan discovers that Lyndsey is dating a younger man."
9,S9.E15 ∙ The Duchess of Dull-in-Sack,"Mon, Feb 6, 2012",6.4, (1.1K,"Walden looks for ways to spice up his lackluster love life with Zoey, including a batch of Berta's ""special"" brownies."
9,"S9.E16 ∙ Sips, Sonnets and Sodomy","Mon, Feb 13, 2012",6.6, (1.1K,Alan and Walden are stuck at home with their feuding girlfriends on Valentine's Day because of a torrential storm.
9,S9.E17 ∙ Not in My Mouth!,"Mon, Feb 20, 2012",5.5, (1.2K,"When Zoey doesn't return his ""I love you,"" Walden retaliates by immediately picking up on another woman."
9,S9.E18 ∙ The War Against Gingivitis,"Mon, Feb 27, 2012",5.7, (1K,"Walden's estranged ex-business partner comes to him with a billion-dollar business idea, and another secret or two."
9,"S9.E19 ∙ Palmdale, Ech","Mon, Mar 19, 2012",6.3, (1K,"Alan and Lyndsey introduce their mothers to each other, while Walden spends the night hanging out with Jake and Eldrige since Zoey is still out of town."
9,S9.E20 ∙ Grandma's Pie,"Mon, Apr 9, 2012",6.0, (1K,"Zoe is upset when she finds out that Bridget is a business partner in Walden's latest venture, while Alan and Lyndsey have an awkward dinner with their moms, who are now lovers and are planning to move in together."
9,S9.E21 ∙ Mr. Hose Says 'Yes',"Mon, Apr 16, 2012",6.1, (983,"Walden's commitment is tested when Zoey and her daughter come to live with him. Meanwhile, Alan gets more than he bargained for when he moves in with Lyndsey."
9,S9.E22 ∙ Why We Gave Up Women,"Mon, Apr 30, 2012",6.3, (1.1K,Charlie's spirit returns from Hell in the form of a middle aged woman to tell Alan to make some changes to his life after his heart attack.
9,S9.E23 ∙ The Straw in My Donut Hole,"Mon, May 7, 2012",5.7, (1.1K,"Alan decides to take advantage of the guilt felt by his family and Walden after his heart attack, but Zoe knows that he's just milking it and sets out to prove it."
9,S9.E24 ∙ Oh Look! Al-Qaeda!,"Mon, May 14, 2012",6.4, (1.1K,Jake and Eldridge make an important decision about their future after they graduate from high school and get fired from their jobs at Walden's new company.
10,S10.E1 ∙ I Changed My Mind About the Milk,"Thu, Sep 27, 2012",6.1, (1.3K,Walden weighs his options after his elaborate marriage proposal featuring fireworks and Michael Bolton fails.
10,S10.E2 ∙ A Big Bag of Dog,"Thu, Oct 4, 2012",6.2, (996,"While Alan becomes obsessed with off-brand teeth whitening, Walden begins to crack up over his breakup with Zoe."
10,"S10.E3 ∙ Four Balls, Two Bats and One Mitt","Thu, Oct 11, 2012",6.1, (1.1K,"Alan agrees to Lyndsey's idea of having a threesome with Walden, but Walden can't follow through because he's still in love with Zoey."
10,S10.E4 ∙ You Do Know What the Lollipop Is For,"Thu, Oct 18, 2012",6.5, (1.2K,"Walden is conflicted when a friend's hot daughter comes to visit, but the problem solves itself when Jake arrives for a surprise visit."
10,S10.E5 ∙ That's Not What They Call It in Amsterdam,"Thu, Oct 25, 2012",6.4, (977,"After a series of bad double-date setups with Alan and Lyndsey, Walden meets a new woman--Charlie's ex Rose."
10,"S10.E6 ∙ Ferrets, Attack!","Thu, Nov 1, 2012",6.0, (947,"Just as Walden considers making a big move in his relationship with Rose, Zoey re-enters the picture and asks him to take her back."
10,S10.E7 ∙ Avoid the Chinese Mustard,"Thu, Nov 8, 2012",6.3, (1.1K,"Jake goes AWOL from the Army to spend another weekend with Missi, and Walden hires an actress to play the role of his girlfriend."
10,S10.E8 ∙ Something My Gynecologist Said,"Thu, Nov 15, 2012",6.5, (998,"Alan loses Lyndsey over his refusal to make a long-term commitment, while Walden becomes a ""boy toy"" for a rich older woman who has no idea that he's a billionaire."
10,S10.E9 ∙ I Scream When I Pee,"Thu, Nov 29, 2012",7.0, (1K,"Alan's second ex-wife, Kandi, could spoil Alan's new long-term relationship with Lyndsey. Meanwhile, Walden tries to celebrate Berta's birthday."
10,S10.E10 ∙ One Nut Johnson,"Thu, Dec 6, 2012",6.9, (984,"Walden creates an ""Everyman"" persona and finds a woman who isn't interested in him because of his money."
10,S10.E11 ∙ Give Santa a Tail-Hole,"Thu, Dec 13, 2012",6.7, (962,"While Walden takes a job as a Christmas tree salesman as part of his ruse, he gets a billion dollar business proposal from Mark Zuckerberg. Meanwhile, Alan finds himself completely alone at the beach house for the holidays."
10,S10.E12 ∙ Welcome to Alancrest,"Thu, Jan 3, 2013",6.3, (942,"While Walden's health and other bedroom issues begin to suffer as a result of living a lie, he gives Alan 100,000 dollars to ""invest"" in Kate's fashion line."
10,S10.E13 ∙ Grab a Feather and Get in Line,"Thu, Jan 10, 2013",5.6, (1.1K,Walden and Alan fly to New York City so that Walden can finally reveal his true identity to Kate.
10,"S10.E14 ∙ Run, Steven Staven! Run!","Thu, Jan 31, 2013",6.6, (935,"Alan, Walden, Billy, and Herb spend the night out together commiserating over their exes after Lyndsey dumps Alan one more time."
10,"S10.E15 ∙ Paint It, Pierce It or Plug It","Thu, Feb 7, 2013",6.8, (979,"Alan is alarmed when he discovers that Jake's new girlfriend is almost twice his age, has three children, and owns a tattoo parlor."
10,"S10.E16 ∙ Advantage: Fat, Flying Baby","Thu, Feb 14, 2013",6.3, (873,"Walden is delighted when Kate flies to LA and asks an appointment on Valentine's Day. Alas, she only wants friendship, still prefers 'Sam' and now has just a busy calendar as Walden, so no next date can be booked. For once, Alan decides to 'spoil' Lyndsey on Valentine's Day by booking a hotel suite he can't really afford. But pubic grooming on himself goes so bad she has to drive him to hospital instead. Rose is unsuspecting Kate's new business partner, who lures her to China."
10,S10.E17 ∙ Throgwarten Middle School Mysteries,"Thu, Feb 21, 2013",6.3, (900,Walden goes to a mixer to find a woman but runs into his ex-wife Bridget instead.
10,S10.E18 ∙ The 9:04 from Pemberton,"Thu, Mar 7, 2013",6.4, (895,"After Alan and Walden fight over a toaster, Alan moves out and goes back to his old house to live with Herb."
10,S10.E19 ∙ Big Episode: Someone Stole a Spoon,"Thu, Mar 14, 2013",6.8, (971,"Alan and Walden take Herb out to take his mind off of his troubles, but his partying quickly spirals out of control."
10,S10.E20 ∙ Bazinga! That's From a TV Show,"Thu, Apr 4, 2013",6.9, (1.1K,Tammy comes after Jake after he cheats on her with her 18 year old daughter.
10,S10.E21 ∙ Another Night with Neil Diamond,"Thu, Apr 25, 2013",6.2, (872,"Alan is crushed when Lyndsey dumps him and immediately starts dating a new man, and Walden is crushed because he is now completely stuck with Alan--again."
10,S10.E22 ∙ My Bodacious Vidalia,"Thu, May 2, 2013",6.4, (897,"Walden treats Alan to an image makeover, and he attracts a married woman with a much older husband who cannot satisfy her in bed."
10,"S10.E23 ∙ Cows, Prepare to Be Tipped","Thu, May 9, 2013",6.4, (970,"Walden dates a sexy young woman, but is actually more interested in her grandmother. Meanwhile, Alan and Jake take a final road trip together before Jake leaves for Japan."
11,S11.E1 ∙ Nangnangnangnang,"Thu, Sep 26, 2013",6.1, (1.2K,Walden is forced to deal with two freeloading Harpers when Charlie's daughter that nobody knew he had arrives at the beach house.
11,S11.E2 ∙ I Think I Banged Lucille Ball,"Thu, Oct 3, 2013",6.0, (979,"Charlie's daughter Jenny moves in with Evelyn and her 91 1/2 year old boyfriend, and Lyndsey cheats on her new boyfriend with Alan."
11,S11.E3 ∙ This Unblessed Biscuit,"Thu, Oct 10, 2013",6.0, (911,"Berta is injured on the job, and after getting in an argument with Walden over retirement, she decides to quit."
11,"S11.E4 ∙ Clank, Clank, Drunken Skank","Thu, Oct 17, 2013",6.3, (941,"Walden makes a big mistake while partying with Jenny and her friends, and Alan has to make a big sacrifice to keep up appearances with Lyndsey."
11,"S11.E5 ∙ Alan Harper, Pleasing Women Since 2003","Thu, Oct 24, 2013",6.3, (910,"Alan's jealousy over being the ""other man"" causes him to spy on Lyndsey's boyfriend, and Walden tries to get Jenny started with acting lessons."
11,S11.E6 ∙ Justice in Star-Spangled Hot Pants,"Thu, Nov 7, 2013",6.1, (931,"Alan begs Walden to set him up with an old family friend, ""Wonder Woman"" TV star Lynda Carter."
11,S11.E7 ∙ Some Kind of Lesbian Zombie,"Thu, Nov 14, 2013",6.5, (941,Alan and Walden hook up with a pair of theme park princesses until Lyndsey's jealousy of Alan's new flame ruins everything.
11,"S11.E8 ∙ Mr. Walden, He Die. I Clean Room.","Thu, Nov 21, 2013",6.2, (856,"A private investigator tells Lyndsey's boyfriend that she is cheating on him with Walden, and Rose tries to help keep Walden out of danger."
11,S11.E9 ∙ Numero Uno Accidente Lawyer,"Thu, Dec 5, 2013",6.0, (915,"Walden has a date with an injury-prone model, and Alan sleeps with a woman who then reveals that she used to be a man."
11,"S11.E10 ∙ On Vodka, on Soda, on Blender, on Mixer!","Thu, Dec 12, 2013",6.3, (928,"Walden helps Jenny get a second date with a woman who is blowing her off, and Alan is propositioned by his new girlfriend's ex."
11,S11.E11 ∙ Tazed in the Lady Nuts,"Thu, Jan 2, 2014",6.5, (951,"Walden is hired by a former employee he fired to write code for a new project, and Alan suffers an unfortunate tick bite while hiking with Jenny and her girlfriend."
11,S11.E12 ∙ Baseball. Boobs. Boobs. Baseball.,"Thu, Jan 9, 2014",6.3, (859,"Alan lets Lyndsey's boyfriend Larry set him up on a date, while Walden offers to help Nicole with her software project, so that she will have the time to date him."
11,"S11.E13 ∙ Bite Me, Supreme Court","Thu, Jan 30, 2014",6.1, (892,"Marty proposes to Evelyn, and she accepts. But after Alan and Walden throw Marty a bachelor party, he abruptly calls off the wedding."
11,S11.E14 ∙ Three Fingers of Crème de Menthe,"Thu, Feb 6, 2014",6.2, (834,"After Alan learns that Lyndsey broke up with Larry and didn't tell him, he makes a big decision. Meanwhile, Walden sets out to prove that he's a man's man."
11,S11.E15 ∙ Cab Fare and a Bottle of Penicillin,"Thu, Feb 27, 2014",6.2, (831,"Alan turns to Judith for comfort after Lyndsey accepts Larry's marriage proposal, and Jenny is worried that Brooke is blowing her off."
11,S11.E16 ∙ How to Get Rid of Alan Harper,"Thu, Mar 6, 2014",6.5, (864,"Alan takes an interest in Larry's sister after ""Jeff Strongman"" agrees to be his best man, and Walden is concerned about his relationship with Nicole."
11,"S11.E17 ∙ Welcome Home, Jake","Thu, Mar 13, 2014",6.6, (862,"Lyndsey discovers that Alan is sleeping with Larry's sister, Gretchen. Meanwhile, Walden finds it difficult with telling Barry to find his own place."
11,S11.E18 ∙ West Side Story,"Thu, Apr 3, 2014",6.5, (843,"Walden's reunion with his ex-girlfriend Kate does not go as planned, and Alan takes Gretchen over to ""his apartment."""
11,S11.E19 ∙ Lan mao shi zai wuding shang,"Thu, Apr 10, 2014",7.1, (1K,"Just as Walden is considering proposing to Kate, he falls for a random stranger who arrives at his beach house. Meanwhile, Gretchen discovers that Alan's ""Jeff Strongman"" persona is a lie."
11,S11.E20 ∙ Lotta Delis in Little Armenia,"Thu, Apr 24, 2014",7.1, (962,"Walden's therapist tells him to have plenty of random casual sex to help get over falling in love too quickly, and Alan's new business venture provides him with the perfect opportunity."
11,S11.E21 ∙ Dial 1-900-Mix-A-Lot,"Thu, May 1, 2014",6.1, (826,"Walden goes to Colorado with Jenny and Barry after he finds his first car. Meanwhile, Alan loses Gretchen after he considers telling Larry the truth about ""Jeff Strongman."""
11,"S11.E22 ∙ Oh WALD-E, Good Times Ahead","Thu, May 8, 2014",6.5, (919,"When Alan and Gretchen get engaged and Larry calls off the wedding, Lyndsey goes off the deep end. Meanwhile, Walden creates a smart-aleck robot."
12,S12.E1 ∙ The Ol' Mexican Spinach,"Thu, Oct 30, 2014",5.2, (1.1K,"When Walden has a health scare on Halloween, he tries to re-prioritize his life with the help of Alan."
12,S12.E2 ∙ A Chic Bar in Ibiza,"Thu, Nov 6, 2014",5.3, (1K,Alan has second thoughts about getting married when Walden has him sign a prenup.
12,S12.E3 ∙ Glamping in a Yurt,"Thu, Nov 13, 2014",5.4, (947,"Alan and Walden must be perceived as a loving couple during a meeting with an adoption social worker. However, Lyndsey returns from rehab and makes their plans more difficult."
12,"S12.E4 ∙ Thirty-Eight, Sixty-Two, Thirty-Eight","Thu, Nov 20, 2014",5.5, (915,"After the social worker signs off on them, a prospective birth mother visits Walden and Alan."
12,S12.E5 ∙ Oontz. Oontz. Oontz.,"Thu, Nov 27, 2014",5.2, (900,"Walden looks after a foster child named Louis,but they don't bond the way he hoped they would."
12,S12.E6 ∙ Alan Shot a Little Girl,"Thu, Dec 4, 2014",5.3, (867,"Much to Walden's frustration, Louis successfully manipulates Alan, who cannot resist the opportunity to finally get to become the cool parent."
12,S12.E7 ∙ Sex with an Animated Ed Asner,"Thu, Dec 11, 2014",5.9, (879,"Walden and Alan befriend a group of sexy single moms while taking Louis out to play, which makes it even more difficult to keep up their charade."
12,"S12.E8 ∙ Family, Bublé, Deep-Fried Turkey","Thu, Dec 18, 2014",5.6, (863,"Walden hopes to create the perfect Christmas experience for Louis, who has lost his faith in Christmas. But Santa, Alan's mom Evelyn, and Alan's cheapness threaten to ruin everything."
12,"S12.E9 ∙ Bouncy, Bouncy, Bouncy, Lyndsey","Thu, Jan 8, 2015",5.8, (836,"Walden and Laurel set up a playdate for their kids so they can pick up where they left off the last time they got together. Meanwhile, Herb asks Alan if he can ask Lyndsey out."
12,"S12.E10 ∙ Here I Come, Pants!","Thu, Jan 15, 2015",5.8, (842,"When Ms. McMartin discovers that Walden and Alan are pretending to be gay, she threatens to take Louis away. However, Alan has a plan to help her change her mind."
12,S12.E11 ∙ For Whom the Booty Calls,"Thu, Jan 22, 2015",5.6, (864,"When Walden joins a support group for adoptive fathers, he discovers that it is a nice getaway from Alan."
12,S12.E12 ∙ A Beer-Battered Rip-Off,"Thu, Jan 29, 2015",5.9, (896,Walden worries that Louis' adoption will be impacted when Alan breaks up with their social worker.
12,S12.E13 ∙ Boompa Loved His Hookers,"Thu, Feb 5, 2015",5.7, (855,"Walden discovers that Ms. McMartin is crazy and needy after they hook up, but he doesn't want to break up with her and mess up the adoption. Meanwhile, Lyndsey asks Alan to move in with her."
12,S12.E14 ∙ Don't Give a Monkey a Gun,"Thu, Feb 12, 2015",5.6, (915,"When their divorce becomes official, Walden offers Alan a gift. Alan's impractical choice strains his relationship with Lindsay."
12,S12.E15 ∙ Of Course He's Dead: Part 1 & 2,"Thu, Feb 19, 2015",3.7, (3.7K,"Alan begins to suspect that Charlie is still alive, which is confirmed when he receives a threatening package and Rose tells the truth."
